,Provinsi,Tahun,IPM,Inflasi,Kemiskinan,PDRBK_ADHB,PDRBK_ADHK,PDRB_ADHB,PDRB_ADHK,Pengangguran,Upah Minimum,PDRB_ADHK_YoY,PDRB_ADHB_YoY,PDRBK_ADHK_YoY,PDRBK_ADHB_YoY,PDRB_ADHK_Pct,PDRB_ADHB_Pct,PDRBK_ADHK_Pct,PDRBK_ADHB_Pct
136,Kalimantan Barat,2014,64.89,8.36,8.07,28062.48,22712.65,132345.29,107114.96,4.04,1380000.0,5.034911631006533,11.551095001254197,3.3712104489683092,9.784167595798365,56.55847237899817,148.58913262345052,27.901181287406967,103.08609861471535
137,Kalimantan Barat,2015,65.59,3.35,8.44,30619.33,23456.52,146653.55,112346.76,5.15,1560000.0,4.884285070918182,10.811310323170531,3.2751352220018237,9.111275981310275,56.55847237899817,148.58913262345052,27.901181287406967,103.08609861471535
138,Kalimantan Barat,2016,65.88,3.02,8.0,33190.65,24308.85,161364.24,118183.27,4.23,1739400.0,5.195085287728829,10.030912991877795,3.6336592128755507,8.397701713264127,56.55847237899817,148.58913262345052,27.901181287406967,103.08609861471535
139,Kalimantan Barat,2017,66.26,3.61,7.86,35984.53,25198.01,177493.65,124289.17,4.36,1882900.0,5.166467301167077,9.995653312034936,3.6577625021339877,8.417671844329643,56.55847237899817,148.58913262345052,27.901181287406967,103.08609861471535
140,Kalimantan Barat,2018,66.98,3.13,7.37,38814.73,26110.57,194138.22,130596.32,4.18,2046900.0,5.074577294224425,9.37755801404727,3.6215558292103323,7.865046451905866,56.55847237899817,148.58913262345052,27.901181287406967,103.08609861471535
141,Kalimantan Barat,2019,67.65,2.72,7.49,42045.41,27199.78,212150.33,137243.09,4.35,2211500.0,5.089553825100124,9.277982460125568,4.171529001473351,8.323334981333108,56.55847237899817,148.58913262345052,27.901181287406967,103.08609861471535
142,Kalimantan Barat,2020,67.66,1.68,7.17,39622.24,24953.61,213950.35,134743.38,5.81,2399699.0,-1.8213740305613846,0.8484643884362653,-8.258044734185344,-5.763221241034411,56.55847237899817,148.58913262345052,27.901181287406967,103.08609861471535
143,Kalimantan Selatan,2010,69.92,6.96,5.21,23418.47,23418.47,85305.0,85305.0,5.25,1024500.0,,,,,53.407561104272915,110.02522712619422,37.55083060507368,88.31627343716305
144,Kalimantan Selatan,2011,70.44,3.79,5.29,26594.38,24567.52,98780.55,91252.13,6.29,1126000.0,6.971607760389187,15.796905222437129,4.906597228597764,13.561560597255063,53.407561104272915,110.02522712619422,37.55083060507368,88.31627343716305
145,Kalimantan Selatan,2012,66.68,4.3,5.06,28197.08,25547.77,106725.43,96697.84,5.19,1225000.0,5.967762067581317,8.042959874185751,3.990024227109612,6.026461229778635,53.407561104272915,110.02522712619422,37.55083060507368,88.31627343716305
